id|name|types|speed|hp|base_experience|attack|defense|weight
85|dodrio|normal,flying|110|60|165|110|70|852
86|seel|water|45|65|65|45|55|900
87|dewgong|water,ice|70|90|166|70|80|1200
88|grimer|poison|25|80|65|80|50|300
89|muk|poison|50|105|175|105|75|300
90|shellder|water|40|30|61|65|100|40
91|cloyster|water,ice|70|50|184|95|180|1325
92|gastly|ghost,poison|80|30|62|35|30|1
93|haunter|ghost,poison|95|45|142|50|45|1
94|gengar|ghost,poison|110|60|225|65|60|405
95|onix|rock,ground|70|35|77|45|160|2100
96|drowzee|psychic|42|60|66|48|45|324
97|hypno|psychic|67|85|169|73|70|756
98|krabby|water|50|30|65|105|90|65
99|kingler|water|75|55|166|130|115|600
100|voltorb|electric|100|40|66|30|50|104
101|electrode|electric|150|60|172|50|70|666
102|exeggcute|grass,psychic|40|60|65|40|80|25
103|exeggutor|grass,psychic|55|95|186|95|85|1200
104|cubone|ground|35|50|64|50|95|65
105|marowak|ground|45|60|149|80|110|450
106|hitmonlee|fighting|87|50|159|120|53|498
107|hitmonchan|fighting|76|50|159|105|79|502
108|lickitung|normal|30|90|77|55|75|655
109|koffing|poison|35|40|68|65|95|10
110|weezing|poison|60|65|172|90|120|95
111|rhyhorn|ground,rock|25|80|69|85|95|1150
112|rhydon|ground,rock|40|105|170|130|120|1200
113|chansey|normal|50|250|395|5|5|346
114|tangela|grass|60|65|87|55|115|350
115|kangaskhan|normal|90|105|172|95|80|800
116|horsea|water|60|30|59|40|70|80
117|seadra|water|85|55|154|65|95|250
118|goldeen|water|63|45|64|67|60|150
119|seaking|water|68|80|158|92|65|390
120|staryu|water|85|30|68|45|55|345
121|starmie|water,psychic|115|60|182|75|85|800
122|mr-mime|psychic,fairy|90|40|161|45|65|545
123|scyther|bug,flying|105|70|100|110|80|560
124|jynx|ice,psychic|95|65|159|50|35|406
125|electabuzz|electric|105|65|172|83|57|300
126|magmar|fire|93|65|173|95|57|445
127|pinsir|bug|85|65|175|125|100|550
128|tauros|normal|110|75|172|100|95|884
129|magikarp|water|80|20|40|10|55|100
130|gyarados|water,flying|81|95|189|125|79|2350
131|lapras|water,ice|60|130|187|85|80|2200
132|ditto|normal|48|48|101|48|48|40
133|eevee|normal|55|55|65|55|50|65
134|vaporeon|water|65|130|184|65|60|290
135|jolteon|electric|130|65|184|65|60|245
136|flareon|fire|65|65|184|130|60|250
137|porygon|normal|40|65|79|60|70|365
138|omanyte|rock,water|35|35|71|40|100|75
139|omastar|rock,water|55|70|173|60|125|350
140|kabuto|rock,water|55|30|71|80|90|115
141|kabutops|rock,water|80|60|173|115|105|405
142|aerodactyl|rock,flying|130|80|180|105|65|590
143|snorlax|normal|30|160|189|110|65|4600
144|articuno|ice,flying|85|90|261|85|100|554
145|zapdos|electric,flying|100|90|261|90|85|526
146|moltres|fire,flying|90|90|261|100|90|600
147|dratini|dragon|50|41|60|64|45|33
148|dragonair|dragon|70|61|147|84|65|165
149|dragonite|dragon,flying|80|91|270|134|95|2100
150|mewtwo|psychic|130|106|306|110|90|1220
151|mew|psychic|100|100|270|100|100|40
152|chikorita|grass|45|45|64|49|65|64
153|bayleef|grass|60|60|142|62|80|158
154|meganium|grass|80|80|236|82|100|1005
155|cyndaquil|fire|65|39|62|52|43|79
156|quilava|fire|80|58|142|64|58|190
157|typhlosion|fire|100|78|240|84|78|795
158|totodile|water|43|50|63|65|64|95
159|croconaw|water|58|65|142|80|80|250
160|feraligatr|water|78|85|239|105|100|888
161|sentret|normal|20|35|43|46|34|60
162|furret|normal|90|85|145|76|64|325
163|hoothoot|normal,flying|50|60|52|30|30|212
164|noctowl|normal,flying|70|100|158|50|50|408
165|ledyba|bug,flying|55|40|53|20|30|108
166|ledian|bug,flying|85|55|137|35|50|356
167|spinarak|bug,poison|30|40|50|60|40|85
168|ariados|bug,poison|40|70|140|90|70|335
169|crobat|poison,flying|130|85|241|90|80|750
170|chinchou|water,electric|67|75|66|38|38|120
171|lanturn|water,electric|67|125|161|58|58|225
172|pichu|electric|60|20|41|40|15|20
173|cleffa|fairy|15|50|44|25|28|30
174|igglybuff|normal,fairy|15|90|42|30|15|10
175|togepi|fairy|20|35|49|20|65|15
176|togetic|fairy,flying|40|55|142|40|85|32
177|natu|psychic,flying|70|40|64|50|45|20
178|xatu|psychic,flying|95|65|165|75|70|150
179|mareep|electric|35|55|56|40|40|78
180|flaaffy|electric|45|70|128|55|55|133
181|ampharos|electric|55|90|230|75|85|615
182|bellossom|grass|50|75|221|80|95|58
183|marill|water,fairy|40|70|88|20|50|85
184|azumarill|water,fairy|50|100|189|50|80|285
185|sudowoodo|rock|30|70|144|100|115|380
186|politoed|water|70|90|225|75|75|339
187|hoppip|grass,flying|50|35|50|35|40|5
188|skiploom|grass,flying|80|55|119|45|50|10
189|jumpluff|grass,flying|110|75|207|55|70|30
190|aipom|normal|85|55|72|70|55|115
191|sunkern|grass|30|30|36|30|30|18
192|sunflora|grass|30|75|149|75|55|85
193|yanma|bug,flying|95|65|78|65|45|380
194|wooper|water,ground|15|55|42|45|45|85
195|quagsire|water,ground|35|95|151|85|85|750
196|espeon|psychic|110|65|184|65|60|265
197|umbreon|dark|65|95|184|65|110|270
198|murkrow|dark,flying|91|60|81|85|42|21
199|slowking|water,psychic|30|95|172|75|80|795
200|misdreavus|ghost|85|60|87|60|60|10
201|unown|psychic|48|48|118|72|48|50
202|wobbuffet|psychic|33|190|142|33|58|285
203|girafarig|normal,psychic|85|70|159|80|65|415
204|pineco|bug|15|50|58|65|90|72
205|forretress|bug,steel|40|75|163|90|140|1258
206|dunsparce|normal|45|100|145|70|70|140
207|gligar|ground,flying|85|65|86|75|105|648
208|steelix|steel,ground|30|75|179|85|200|4000
209|snubbull|fairy|30|60|60|80|50|78
210|granbull|fairy|45|90|158|120|75|487
211|qwilfish|water,poison|85|65|88|95|85|39
212|scizor|bug,steel|65|70|175|130|100|1180
213|shuckle|bug,rock|5|20|177|10|230|205
214|heracross|bug,fighting|85|80|175|125|75|540
215|sneasel|dark,ice|115|55|86|95|55|280
216|teddiursa|normal|40|60|66|80|50|88
217|ursaring|normal|55|90|175|130|75|1258
218|slugma|fire|20|40|50|40|40|350
219|magcargo|fire,rock|30|60|151|50|120|550
220|swinub|ice,ground|50|50|50|50|40|65
221|piloswine|ice,ground|50|100|158|100|80|558
222|corsola|water,rock|35|65|144|55|95|50
223|remoraid|water|65|35|60|65|35|120
224|octillery|water|45|75|168|105|75|285
225|delibird|ice,flying|75|45|116|55|45|160
226|mantine|water,flying|70|85|170|40|70|2200
227|skarmory|steel,flying|70|65|163|80|140|505
228|houndour|dark,fire|65|45|66|60|30|108
229|houndoom|dark,fire|95|75|175|90|50|350
230|kingdra|water,dragon|85|75|243|95|95|1520
231|phanpy|ground|40|90|66|60|60|335
232|donphan|ground|50|90|175|120|120|1200
233|porygon2|normal|60|85|180|80|90|325
234|stantler|normal|85|73|163|95|62|712
235|smeargle|normal|75|55|88|20|35|580
236|tyrogue|fighting|35|35|42|35|35|210
237|hitmontop|fighting|70|50|159|95|95|480
238|smoochum|ice,psychic|65|45|61|30|15|60
239|elekid|electric|95|45|72|63|37|235
240|magby|fire|83|45|73|75|37|214
241|miltank|normal|100|95|172|80|105|755
242|blissey|normal|55|255|608|10|10|468
243|raikou|electric|115|90|261|85|75|1780
244|entei|fire|100|115|261|115|85|1980
245|suicune|water|85|100|261|75|115|1870
246|larvitar|rock,ground|41|50|60|64|50|720
247|pupitar|rock,ground|51|70|144|84|70|1520
248|tyranitar|rock,dark|61|100|270|134|110|2020
249|lugia|psychic,flying|110|106|306|90|130|2160
250|ho-oh|fire,flying|90|106|306|130|90|1990
251|celebi|psychic,grass|100|100|270|100|100|50
252|treecko|grass|70|40|62|45|35|50
253|grovyle|grass|95|50|142|65|45|216
254|sceptile|grass|120|70|239|85|65|522
255|torchic|fire|45|45|62|60|40|25
256|combusken|fire,fighting|55|60|142|85|60|195
257|blaziken|fire,fighting|80|80|239|120|70|520
258|mudkip|water|40|50|62|70|50|76
259|marshtomp|water,ground|50|70|142|85|70|280
260|swampert|water,ground|60|100|241|110|90|819
261|poochyena|dark|35|35|56|55|35|136
262|mightyena|dark|70|70|147|90|70|370
263|zigzagoon|normal|60|38|56|30|41|175
264|linoone|normal|100|78|147|70|61|325
265|wurmple|bug|20|45|56|45|35|36
266|silcoon|bug|15|50|72|35|55|100
267|beautifly|bug,flying|65|60|178|70|50|284
268|cascoon|bug|15|50|72|35|55|115
269|dustox|bug,poison|65|60|173|50|70|316
270|lotad|water,grass|30|40|44|30|30|26
271|lombre|water,grass|50|60|119|50|50|325
272|ludicolo|water,grass|70|80|216|70|70|550
273|seedot|grass|30|40|44|40|50|40
274|nuzleaf|grass,dark|60|70|119|70|40|280
275|shiftry|grass,dark|80|90|216|100|60|596
276|taillow|normal,flying|85|40|54|55|30|23
277|swellow|normal,flying|125|60|159|85|60|198
278|wingull|water,flying|85|40|54|30|30|95
279|pelipper|water,flying|65|60|154|50|100|280
280|ralts|psychic,fairy|40|28|40|25|25|66
281|kirlia|psychic,fairy|50|38|97|35|35|202
282|gardevoir|psychic,fairy|80|68|233|65|65|484
283|surskit|bug,water|65|40|54|30|32|17
284|masquerain|bug,flying|80|70|159|60|62|36
285|shroomish|grass|35|60|59|40|60|45
286|breloom|grass,fighting|70|60|161|130|80|392
287|slakoth|normal|30|60|56|60|60|240
288|vigoroth|normal|90|80|154|80|80|465
289|slaking|normal|100|150|252|160|100|1305
290|nincada|bug,ground|40|31|53|45|90|55
291|ninjask|bug,flying|160|61|160|90|45|120
292|shedinja|bug,ghost|40|1|83|90|45|12
293|whismur|normal|28|64|48|51|23|163
294|loudred|normal|48|84|126|71|43|405
295|exploud|normal|68|104|221|91|63|840
296|makuhita|fighting|25|72|47|60|30|864
297|hariyama|fighting|50|144|166|120|60|2538
298|azurill|normal,fairy|20|50|38|20|40|20
299|nosepass|rock|30|30|75|45|135|970
300|skitty|normal|50|50|52|45|45|110
301|delcatty|normal|90|70|140|65|65|326
302|sableye|dark,ghost|50|50|133|75|75|110
303|mawile|steel,fairy|50|50|133|85|85|115
304|aron|steel,rock|30|50|66|70|100|600
305|lairon|steel,rock|40|60|151|90|140|1200
306|aggron|steel,rock|50|70|239|110|180|3600
307|meditite|fighting,psychic|60|30|56|40|55|112
308|medicham|fighting,psychic|80|60|144|60|75|315
309|electrike|electric|65|40|59|45|40|152
310|manectric|electric|105|70|166|75|60|402
311|plusle|electric|95|60|142|50|40|42
312|minun|electric|95|60|142|40|50|42
313|volbeat|bug|85|65|151|73|75|177
314|illumise|bug|85|65|151|47|75|177
315|roselia|grass,poison|65|50|140|60|45|20
316|gulpin|poison|40|70|60|43|53|103
317|swalot|poison|55|100|163|73|83|800
318|carvanha|water,dark|65|45|61|90|20|208
319|sharpedo|water,dark|95|70|161|120|40|888
320|wailmer|water|60|130|80|70|35|1300
321|wailord|water|60|170|175|90|45|3980
322|numel|fire,ground|35|60|61|60|40|240
323|camerupt|fire,ground|40|70|161|100|70|2200
324|torkoal|fire|20|70|165|85|140|804
325|spoink|psychic|60|60|66|25|35|306
326|grumpig|psychic|80|80|165|45|65|715
327|spinda|normal|60|60|126|60|60|50
328|trapinch|ground|10|45|58|100|45|150
329|vibrava|ground,dragon|70|50|119|70|50|153
330|flygon|ground,dragon|100|80|234|100|80|820
331|cacnea|grass|35|50|67|85|40|513
332|cacturne|grass,dark|55|70|166|115|60|774
333|swablu|normal,flying|50|45|62|40|60|12
334|altaria|dragon,flying|80|75|172|70|90|206
335|zangoose|normal|90|73|160|115|60|403
336|seviper|poison|65|73|160|100|60|525
337|lunatone|rock,psychic|70|90|161|55|65|1680
338|solrock|rock,psychic|70|90|161|95|85|1540
339|barboach|water,ground|60|50|58|48|43|19
340|whiscash|water,ground|60|110|164|78|73|236
341|corphish|water|35|43|62|80|65|115
342|crawdaunt|water,dark|55|63|164|120|85|328
343|baltoy|ground,psychic|55|40|60|40|55|215
344|claydol|ground,psychic|75|60|175|70|105|1080
345|lileep|rock,grass|23|66|71|41|77|238
346|cradily|rock,grass|43|86|173|81|97|604
347|anorith|rock,bug|75|45|71|95|50|125
348|armaldo|rock,bug|45|75|173|125|100|682
349|feebas|water|80|20|40|15|20|74
350|milotic|water|81|95|189|60|79|1620
351|castform|normal|70|70|147|70|70|8
352|kecleon|normal|40|60|154|90|70|220
353|shuppet|ghost|45|44|59|75|35|23
354|banette|ghost|65|64|159|115|65|125
355|duskull|ghost|25|20|59|40|90|150
356|dusclops|ghost|25|40|159|70|130|306
357|tropius|grass,flying|51|99|161|68|83|1000
358|chimecho|psychic|65|75|159|50|80|10
359|absol|dark|75|65|163|130|60|470
360|wynaut|psychic|23|95|52|23|48|140
361|snorunt|ice|50|50|60|50|50|168
362|glalie|ice|80|80|168|80|80|2565
363|spheal|ice,water|25|70|58|40|50|395
364|sealeo|ice,water|45|90|144|60|70|876
365|walrein|ice,water|65|110|239|80|90|1506
366|clamperl|water|32|35|69|64|85|525
367|huntail|water|52|55|170|104|105|270
368|gorebyss|water|52|55|170|84|105|226
369|relicanth|water,rock|55|100|170|90|130|234
370|luvdisc|water|97|43|116|30|55|87
371|bagon|dragon|50|45|60|75|60|421
372|shelgon|dragon|50|65|147|95|100|1105
373|salamence|dragon,flying|100|95|270|135|80|1026
374|beldum|steel,psychic|30|40|60|55|80|952
375|metang|steel,psychic|50|60|147|75|100|2025
376|metagross|steel,psychic|70|80|270|135|130|5500
377|regirock|rock|50|80|261|100|200|2300
378|regice|ice|50|80|261|50|100|1750
379|registeel|steel|50|80|261|75|150|2050
380|latias|dragon,psychic|110|80|270|80|90|400
381|latios|dragon,psychic|110|80|270|90|80|600
382|kyogre|water|90|100|302|100|90|3520
383|groudon|ground|90|100|302|150|140|9500
384|rayquaza|dragon,flying|95|105|306|150|90|2065
385|jirachi|steel,psychic|100|100|270|100|100|11
386|deoxys-normal|psychic|150|50|270|150|50|608
387|turtwig|grass|31|55|64|68|64|102
388|grotle|grass|36|75|142|89|85|970
389|torterra|grass,ground|56|95|236|109|105|3100
390|chimchar|fire|61|44|62|58|44|62
391|monferno|fire,fighting|81|64|142|78|52|220
392|infernape|fire,fighting|108|76|240|104|71|550
393|piplup|water|40|53|63|51|53|52
394|prinplup|water|50|64|142|66|68|230
395|empoleon|water,steel|60|84|239|86|88|845
396|starly|normal,flying|60|40|49|55|30|20
397|staravia|normal,flying|80|55|119|75|50|155
398|staraptor|normal,flying|100|85|218|120|70|249
399|bidoof|normal|31|59|50|45|40|200
400|bibarel|normal,water|71|79|144|85|60|315
401|kricketot|bug|25|37|39|25|41|22
402|kricketune|bug|65|77|134|85|51|255
403|shinx|electric|45|45|53|65|34|95
404|luxio|electric|60|60|127|85|49|305
405|luxray|electric|70|80|235|120|79|420
406|budew|grass,poison|55|40|56|30|35|12
407|roserade|grass,poison|90|60|232|70|65|145
408|cranidos|rock|58|67|70|125|40|315
409|rampardos|rock|58|97|173|165|60|1025
410|shieldon|rock,steel|30|30|70|42|118|570
411|bastiodon|rock,steel|30|60|173|52|168|1495
412|burmy|bug|36|40|45|29|45|34
413|wormadam-plant|bug,grass|36|60|148|59|85|65
414|mothim|bug,flying|66|70|148|94|50|233
415|combee|bug,flying|70|30|49|30|42|55
416|vespiquen|bug,flying|40|70|166|80|102|385
417|pachirisu|electric|95|60|142|45|70|39
418|buizel|water|85|55|66|65|35|295
419|floatzel|water|115|85|173|105|55|335
420|cherubi|grass|35|45|55|35|45|33
421|cherrim|grass|85|70|158|60|70|93
422|shellos|water|34|76|65|48|48|63
423|gastrodon|water,ground|39|111|166|83|68|299
424|ambipom|normal|115|75|169|100|66|203
425|drifloon|ghost,flying|70|90|70|50|34|12
426|drifblim|ghost,flying|80|150|174|80|44|150
427|buneary|normal|85|55|70|66|44|55
428|lopunny|normal|105|65|168|76|84|333
429|mismagius|ghost|105|60|173|60|60|44
430|honchkrow|dark,flying|71|100|177|125|52|273
431|glameow|normal|85|49|62|55|42|39
432|purugly|normal|112|71|158|82|64|438
433|chingling|psychic|45|45|57|30|50|6
434|stunky|poison,dark|74|63|66|63|47|192
435|skuntank|poison,dark|84|103|168|93|67|380
436|bronzor|steel,psychic|23|57|60|24|86|605
437|bronzong|steel,psychic|33|67|175|89|116|1870
438|bonsly|rock|10|50|58|80|95|150
439|mime-jr|psychic,fairy|60|20|62|25|45|130
440|happiny|normal|30|100|110|5|5|244
441|chatot|normal,flying|91|76|144|65|45|19
442|spiritomb|ghost,dark|35|50|170|92|108|1080
443|gible|dragon,ground|42|58|60|70|45|205
444|gabite|dragon,ground|82|68|144|90|65|560
445|garchomp|dragon,ground|102|108|270|130|95|950
446|munchlax|normal|5|135|78|85|40|1050
447|riolu|fighting|60|40|57|70|40|202
448|lucario|fighting,steel|90|70|184|110|70|540
449|hippopotas|ground|32|68|66|72|78|495
450|hippowdon|ground|47|108|184|112|118|3000
451|skorupi|poison,bug|65|40|66|50|90|120
452|drapion|poison,dark|95|70|175|90|110|615
453|croagunk|poison,fighting|50|48|60|61|40|230
454|toxicroak|poison,fighting|85|83|172|106|65|444
455|carnivine|grass|46|74|159|100|72|270
456|finneon|water|66|49|66|49|56|70
457|lumineon|water|91|69|161|69|76|240
458|mantyke|water,flying|50|45|69|20|50|650
459|snover|grass,ice|40|60|67|62|50|505
460|abomasnow|grass,ice|60|90|173|92|75|1355
461|weavile|dark,ice|125|70|179|120|65|340
462|magnezone|electric,steel|60|70|241|70|115|1800
463|lickilicky|normal|50|110|180|85|95|1400
464|rhyperior|ground,rock|40|115|241|140|130|2828
465|tangrowth|grass|50|100|187|100|125|1286
466|electivire|electric|95|75|243|123|67|1386
467|magmortar|fire|83|75|243|95|67|680
468|togekiss|fairy,flying|80|85|245|50|95|380
469|yanmega|bug,flying|95|86|180|76|86|515
470|leafeon|grass|95|65|184|110|130|255
471|glaceon|ice|65|65|184|60|110|259
472|gliscor|ground,flying|95|75|179|95|125|425
473|mamoswine|ice,ground|80|110|239|130|80|2910
474|porygon-z|normal|90|85|241|80|70|340
475|gallade|psychic,fighting|80|68|233|125|65|520
476|probopass|rock,steel|40|60|184|55|145|3400
477|dusknoir|ghost|45|45|236|100|135|1066
478|froslass|ice,ghost|110|70|168|80|70|266
479|rotom|electric,ghost|91|50|154|50|77|3
480|uxie|psychic|95|75|261|75|130|3
481|mesprit|psychic|80|80|261|105|105|3
482|azelf|psychic|115|75|261|125|70|3
483|dialga|steel,dragon|90|100|306|120|120|6830
484|palkia|water,dragon|100|90|306|120|100|3360
485|heatran|fire,steel|77|91|270|90|106|4300
486|regigigas|normal|100|110|302|160|110|4200
487|giratina-altered|ghost,dragon|90|150|306|100|120|7500
488|cresselia|psychic|85|120|270|70|120|856
489|phione|water|80|80|216|80|80|31
490|manaphy|water|100|100|270|100|100|14
491|darkrai|dark|125|70|270|90|90|505
492|shaymin-land|grass|100|100|270|100|100|21
493|arceus|normal|120|120|324|120|120|3200
494|victini|psychic,fire|100|100|270|100|100|40
495|snivy|grass|63|45|62|45|55|81
496|servine|grass|83|60|145|60|75|160
497|serperior|grass|113|75|238|75|95|630
498|tepig|fire|45|65|62|63|45|99
499|pignite|fire,fighting|55|90|146|93|55|555
500|emboar|fire,fighting|65|110|238|123|65|1500
501|oshawott|water|45|55|62|55|45|59
502|dewott|water|60|75|145|75|60|245
503|samurott|water|70|95|238|100|85|946
504|patrat|normal|42|45|51|55|39|116
505|watchog|normal|77|60|147|85|69|270
506|lillipup|normal|55|45|55|60|45|41
507|herdier|normal|60|65|130|80|65|147
508|stoutland|normal|80|85|225|110|90|610
509|purrloin|dark|66|41|56|50|37|101
510|liepard|dark|106|64|156|88|50|375
511|pansage|grass|64|50|63|53|48|105
512|simisage|grass|101|75|174|98|63|305
513|pansear|fire|64|50|63|53|48|110
514|simisear|fire|101|75|174|98|63|280
515|panpour|water|64|50|63|53|48|135
516|simipour|water|101|75|174|98|63|290
517|munna|psychic|24|76|58|25|45|233
518|musharna|psychic|29|116|170|55|85|605
519|pidove|normal,flying|43|50|53|55|50|21
520|tranquill|normal,flying|65|62|125|77|62|150
521|unfezant|normal,flying|93|80|220|115|80|290
522|blitzle|electric|76|45|59|60|32|298
523|zebstrika|electric|116|75|174|100|63|795
524|roggenrola|rock|15|55|56|75|85|180
525|boldore|rock|20|70|137|105|105|1020
526|gigalith|rock|25|85|232|135|130|2600
527|woobat|psychic,flying|72|65|65|45|43|21
528|swoobat|psychic,flying|114|67|149|57|55|105
529|drilbur|ground|68|60|66|85|40|85
530|excadrill|ground,steel|88|110|178|135|60|404
531|audino|normal|50|103|390|60|86|310
532|timburr|fighting|35|75|61|80|55|125
533|gurdurr|fighting|40|85|142|105|85|400
534|conkeldurr|fighting|45|105|227|140|95|870
535|tympole|water|64|50|59|50|40|45
536|palpitoad|water,ground|69|75|134|65|55|170
537|seismitoad|water,ground|74|105|229|95|75|620
538|throh|fighting|45|120|163|100|85|555
539|sawk|fighting|85|75|163|125|75|510
540|sewaddle|bug,grass|42|45|62|53|70|25
541|swadloon|bug,grass|42|55|133|63|90|73
542|leavanny|bug,grass|92|75|225|103|80|205
543|venipede|bug,poison|57|30|52|45|59|53
544|whirlipede|bug,poison|47|40|126|55|99|585
545|scolipede|bug,poison|112|60|218|100|89|2005
546|cottonee|grass,fairy|66|40|56|27|60|6
547|whimsicott|grass,fairy|116|60|168|67|85|66
548|petilil|grass|30|45|56|35|50|66
549|lilligant|grass|90|70|168|60|75|163
550|basculin-red-striped|water|98|70|161|92|65|180
551|sandile|ground,dark|65|50|58|72|35|152
552|krokorok|ground,dark|74|60|123|82|45|334
553|krookodile|ground,dark|92|95|234|117|80|963
554|darumaka|fire|50|70|63|90|45|375
555|darmanitan-standard|fire|95|105|168|140|55|929
556|maractus|grass|60|75|161|86|67|280
557|dwebble|bug,rock|55|50|65|65|85|145
558|crustle|bug,rock|45|70|170|105|125|2000
559|scraggy|dark,fighting|48|50|70|75|70|118
560|scrafty|dark,fighting|58|65|171|90|115|300
561|sigilyph|psychic,flying|97|72|172|58|80|140
562|yamask|ghost|30|38|61|30|85|15
563|cofagrigus|ghost|30|58|169|50|145|765
564|tirtouga|water,rock|22|54|71|78|103|165
565|carracosta|water,rock|32|74|173|108|133|810
566|archen|rock,flying|70|55|71|112|45|95
567|archeops|rock,flying|110|75|177|140|65|320
568|trubbish|poison|65|50|66|50|62|310
569|garbodor|poison|75|80|166|95|82|1073
570|zorua|dark|65|40|66|65|40|125
571|zoroark|dark|105|60|179|105|60|811
572|minccino|normal|75|55|60|50|40|58
573|cinccino|normal|115|75|165|95|60|75
574|gothita|psychic|45|45|58|30|50|58
575|gothorita|psychic|55|60|137|45|70|180
576|gothitelle|psychic|65|70|221|55|95|440
577|solosis|psychic|20|45|58|30|40|10
578|duosion|psychic|30|65|130|40|50|80
579|reuniclus|psychic|30|110|221|65|75|201
580|ducklett|water,flying|55|62|61|44|50|55
581|swanna|water,flying|98|75|166|87|63|242
582|vanillite|ice|44|36|61|50|50|57
583|vanillish|ice|59|51|138|65|65|410
584|vanilluxe|ice|79|71|241|95|85|575
585|deerling|normal,grass|75|60|67|60|50|195
586|sawsbuck|normal,grass|95|80|166|100|70|925
587|emolga|electric,flying|103|55|150|75|60|50
588|karrablast|bug|60|50|63|75|45|59
589|escavalier|bug,steel|20|70|173|135|105|330
590|foongus|grass,poison|15|69|59|55|45|10
591|amoonguss|grass,poison|30|114|162|85|70|105
592|frillish|water,ghost|40|55|67|40|50|330
593|jellicent|water,ghost|60|100|168|60|70|1350
594|alomomola|water|65|165|165|75|80|316
595|joltik|bug,electric|65|50|64|47|50|6
596|galvantula|bug,electric|108|70|165|77|60|143
597|ferroseed|grass,steel|10|44|61|50|91|188
